,,Capacities (kW),Capex ($/y),FOM ($/y),Expected opex ($/y),Expected cost ($/y)
deterministic_optimal,Coal,0.5942599748153848,38.968684216110994,10.399549559269234,,
deterministic_optimal,Solar,0.5260517245341344,26.78976504951457,6.57564655667668,,
deterministic_optimal,Wind,1.1884268680001542,111.33037798680893,23.768537360003084,,
deterministic_optimal,Storage,0.7242892172460388,15.23130833752575,5.214882364171479,,
deterministic_optimal,Total,3.033027784595712,192.32013558996024,45.95861584012048,127.56024542698026,365.838996857061
deterministic_renewable,Solar,0.6716590643863887,34.2049796419222,8.395738304829859,,
deterministic_renewable,Wind,2.0988283522809237,196.61567748133095,41.976567045618474,,
deterministic_renewable,Storage,4.038221439057604,84.92104315367634,29.07519436121475,,
deterministic_renewable,Total,6.808708855724916,315.74170027692946,79.44749971166308,3.979039320256561e-13,395.189199988593
stochastic_optimal,Coal,0.8553256450640098,56.08810348500342,14.968198788620171,,
stochastic_optimal,Solar,0.39314212850893354,20.0211970850349,4.914276606361669,,
stochastic_optimal,Wind,0.8359852724609094,78.3140796295649,16.71970544921819,,
stochastic_optimal,Storage,0.14196994108994984,2.985531050183833,1.022183575847639,,
stochastic_optimal,Total,2.2264229871238026,157.40891124978705,37.62436442004767,190.42494463772425,385.458220307559
stochastic_renewable,Solar,1.3440128221966035,68.4453373136802,16.800160277457543,,
stochastic_renewable,Wind,3.1293816959724694,293.15665646627826,62.58763391944939,,
stochastic_renewable,Storage,4.222512194585961,88.79655207244912,30.40208780101892,,
stochastic_renewable,Total,8.695906712755033,450.39854585240755,109.78988199792585,-4.547473508864641e-13,560.188427850333
